更新时间,#genre#
海南卫视,http://139.214.176.166:9901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://139.214.176.166:9901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://139.214.176.166:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://139.214.176.166:9901/tsfile/live/1091_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://139.214.176.166:9901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://139.214.176.166:9901/tsfile/live/1093_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://139.214.176.166:9901/tsfile/live/1094_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://139.214.176.166:9901/tsfile/live/1095_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://139.214.176.166:9901/tsfile/live/1096_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://139.214.176.166:9901/tsfile/live/1097_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://139.214.176.166:9901/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://139.214.176.166:9901/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://139.214.176.166:9901/tsfile/live/1100_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://139.214.176.166:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
吉林都市,http://139.214.176.166:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
吉林综艺,http://139.214.176.166:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
吉林影视,http://139.214.176.166:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
吉林生活,http://139.214.176.166:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
吉林乡村,http://139.214.176.166:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
长影频道,http://139.214.176.166:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
吉林教育,http://139.214.176.166:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://139.214.176.166:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
松原,http://139.214.176.166:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
松原公共,http://139.214.176.166:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://139.214.176.166:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CHC高清电影,http://139.214.176.166:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://139.214.176.166:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
乐游,http://139.214.176.166:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
法制天地,http://139.214.176.166:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
金色学堂,http://139.214.176.166:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
生活时尚,http://139.214.176.166:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
都市时尚,http://139.214.176.166:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
动漫秀场,http://139.214.176.166:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
游戏风云,http://139.214.176.166:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
快乐垂钓,http://139.214.176.166:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
茶频道,http://139.214.176.166:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://139.214.176.166:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://139.214.176.166:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
电视指南,http://139.214.176.166:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
央视文化精品,http://139.214.176.166:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
地理世界,http://139.214.176.166:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
兵器科技,http://139.214.176.166:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
女性时尚,http://139.214.176.166:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
风云音乐,http://139.214.176.166:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://139.214.176.166:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://139.214.176.166:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
